siteid,sitename,itemid,itemname,itemengname,itemunit,monitormonth,concentration
27,三義,4,懸浮微粒,PM10,μg/m3,202507,15
27,三義,5,氮氧化物,NOx,ppb,202507,4.1
27,三義,6,一氧化氮,NO,ppb,202507,1.1
27,三義,7,二氧化氮,NO2,ppb,202507,3
27,三義,10,風速,WIND_SPEED,m/sec,202507,2.4
27,三義,14,溫度,AMB_TEMP,℃,202507,26.8
27,三義,33,細懸浮微粒,PM2.5,μg/m3,202507,7.5
27,三義,38,相對濕度,RH,%,202507,84
27,三義,143,小時風速值,WS_HR,m/sec,202507,2.2
28,豐原,1,二氧化硫,SO2,ppb,202507,0.9
28,豐原,2,一氧化碳,CO,ppm,202507,0.19
28,豐原,3,臭氧,O3,ppb,202507,29
28,豐原,4,懸浮微粒,PM10,μg/m3,202507,16
28,豐原,5,氮氧化物,NOx,ppb,202507,11.6
28,豐原,6,一氧化氮,NO,ppb,202507,3.2
28,豐原,7,二氧化氮,NO2,ppb,202507,8
28,豐原,8,總碳氫化物,THC,ppm,202507,1.97
28,豐原,9,非甲烷碳氫化合物,NMHC,ppm,202507,0.05
28,豐原,10,風速,WIND_SPEED,m/sec,202507,2.3
28,豐原,14,溫度,AMB_TEMP,℃,202507,27.8
28,豐原,31,甲烷,CH4,ppm,202507,1.91
28,豐原,33,細懸浮微粒,PM2.5,μg/m3,202507,7.2
28,豐原,38,相對濕度,RH,%,202507,83
28,豐原,143,小時風速值,WS_HR,m/sec,202507,2
29,沙鹿,1,二氧化硫,SO2,ppb,202507,0.9
29,沙鹿,2,一氧化碳,CO,ppm,202507,0.19
29,沙鹿,3,臭氧,O3,ppb,202507,27
29,沙鹿,4,懸浮微粒,PM10,μg/m3,202507,19
29,沙鹿,5,氮氧化物,NOx,ppb,202507,8.6
29,沙鹿,6,一氧化氮,NO,ppb,202507,1.5
29,沙鹿,7,二氧化氮,NO2,ppb,202507,7
29,沙鹿,10,風速,WIND_SPEED,m/sec,202507,2.1
29,沙鹿,14,溫度,AMB_TEMP,℃,202507,29
29,沙鹿,33,細懸浮微粒,PM2.5,μg/m3,202507,9.2
29,沙鹿,38,相對濕度,RH,%,202507,80
29,沙鹿,143,小時風速值,WS_HR,m/sec,202507,1.7
30,大里,1,二氧化硫,SO2,ppb,202507,1
30,大里,2,一氧化碳,CO,ppm,202507,0.22
30,大里,3,臭氧,O3,ppb,202507,25
30,大里,4,懸浮微粒,PM10,μg/m3,202507,17
30,大里,5,氮氧化物,NOx,ppb,202507,8.7
30,大里,6,一氧化氮,NO,ppb,202507,1.8
30,大里,7,二氧化氮,NO2,ppb,202507,6
30,大里,8,總碳氫化物,THC,ppm,202507,2.17
30,大里,9,非甲烷碳氫化合物,NMHC,ppm,202507,0.07
30,大里,10,風速,WIND_SPEED,m/sec,202507,1.6
30,大里,14,溫度,AMB_TEMP,℃,202507,29
30,大里,31,甲烷,CH4,ppm,202507,2.09
30,大里,33,細懸浮微粒,PM2.5,μg/m3,202507,11.3
30,大里,38,相對濕度,RH,%,202507,81
30,大里,143,小時風速值,WS_HR,m/sec,202507,1.3
31,忠明,1,二氧化硫,SO2,ppb,202507,1.1
31,忠明,2,一氧化碳,CO,ppm,202507,0.24
31,忠明,3,臭氧,O3,ppb,202507,26
31,忠明,4,懸浮微粒,PM10,μg/m3,202507,17
31,忠明,5,氮氧化物,NOx,ppb,202507,9.9
31,忠明,6,一氧化氮,NO,ppb,202507,2.3
31,忠明,7,二氧化氮,NO2,ppb,202507,7
31,忠明,8,總碳氫化物,THC,ppm,202507,2.06
31,忠明,9,非甲烷碳氫化合物,NMHC,ppm,202507,0.06
31,忠明,10,風速,WIND_SPEED,m/sec,202507,1.4
31,忠明,14,溫度,AMB_TEMP,℃,202507,29.1
31,忠明,31,甲烷,CH4,ppm,202507,1.99
31,忠明,33,細懸浮微粒,PM2.5,μg/m3,202507,9.6
31,忠明,38,相對濕度,RH,%,202507,82
31,忠明,143,小時風速值,WS_HR,m/sec,202507,1
32,西屯,1,二氧化硫,SO2,ppb,202507,1.2
32,西屯,2,一氧化碳,CO,ppm,202507,0.19
32,西屯,3,臭氧,O3,ppb,202507,24
32,西屯,4,懸浮微粒,PM10,μg/m3,202507,22
32,西屯,5,氮氧化物,NOx,ppb,202507,11.2
32,西屯,6,一氧化氮,NO,ppb,202507,2.5
32,西屯,7,二氧化氮,NO2,ppb,202507,8
32,西屯,8,總碳氫化物,THC,ppm,202507,2.04
32,西屯,9,非甲烷碳氫化合物,NMHC,ppm,202507,0.06
32,西屯,10,風速,WIND_SPEED,m/sec,202507,1.6
32,西屯,14,溫度,AMB_TEMP,℃,202507,28.9
32,西屯,31,甲烷,CH4,ppm,202507,1.97
32,西屯,33,細懸浮微粒,PM2.5,μg/m3,202507,9.4
32,西屯,38,相對濕度,RH,%,202507,85
32,西屯,143,小時風速值,WS_HR,m/sec,202507,1.3
33,彰化,1,二氧化硫,SO2,ppb,202507,0.8
33,彰化,2,一氧化碳,CO,ppm,202507,0.18
33,彰化,3,臭氧,O3,ppb,202507,25
33,彰化,4,懸浮微粒,PM10,μg/m3,202507,16
33,彰化,5,氮氧化物,NOx,ppb,202507,6.8
33,彰化,6,一氧化氮,NO,ppb,202507,1.3
33,彰化,7,二氧化氮,NO2,ppb,202507,5
33,彰化,8,總碳氫化物,THC,ppm,202507,2.06
33,彰化,9,非甲烷碳氫化合物,NMHC,ppm,202507,0.05
33,彰化,10,風速,WIND_SPEED,m/sec,202507,1.8
33,彰化,14,溫度,AMB_TEMP,℃,202507,29.4
33,彰化,31,甲烷,CH4,ppm,202507,2
33,彰化,33,細懸浮微粒,PM2.5,μg/m3,202507,9.3
33,彰化,38,相對濕度,RH,%,202507,79
33,彰化,143,小時風速值,WS_HR,m/sec,202507,1.5
34,線西,1,二氧化硫,SO2,ppb,202507,1
34,線西,2,一氧化碳,CO,ppm,202507,0.16
34,線西,3,臭氧,O3,ppb,202507,28
34,線西,4,懸浮微粒,PM10,μg/m3,202507,21
34,線西,5,氮氧化物,NOx,ppb,202507,6.4
34,線西,6,一氧化氮,NO,ppb,202507,1.1
34,線西,7,二氧化氮,NO2,ppb,202507,5
34,線西,8,總碳氫化物,THC,ppm,202507,2.04
34,線西,9,非甲烷碳氫化合物,NMHC,ppm,202507,0.05
34,線西,10,風速,WIND_SPEED,m/sec,202507,2.8
34,線西,14,溫度,AMB_TEMP,℃,202507,28.8
34,線西,31,甲烷,CH4,ppm,202507,1.99
34,線西,33,細懸浮微粒,PM2.5,μg/m3,202507,8.8
34,線西,38,相對濕度,RH,%,202507,86
34,線西,143,小時風速值,WS_HR,m/sec,202507,2.6
35,二林,1,二氧化硫,SO2,ppb,202507,1
35,二林,2,一氧化碳,CO,ppm,202507,0.15
35,二林,3,臭氧,O3,ppb,202507,26
35,二林,4,懸浮微粒,PM10,μg/m3,202507,24
35,二林,5,氮氧化物,NOx,ppb,202507,4.2
35,二林,6,一氧化氮,NO,ppb,202507,0.7
35,二林,7,二氧化氮,NO2,ppb,202507,3
35,二林,8,總碳氫化物,THC,ppm,202507,2.12
35,二林,9,非甲烷碳氫化合物,NMHC,ppm,202507,0.02
35,二林,10,風速,WIND_SPEED,m/sec,202507,2.2
35,二林,14,溫度,AMB_TEMP,℃,202507,29.1
35,二林,31,甲烷,CH4,ppm,202507,2.09
35,二林,33,細懸浮微粒,PM2.5,μg/m3,202507,9.5
35,二林,38,相對濕度,RH,%,202507,85
35,二林,143,小時風速值,WS_HR,m/sec,202507,2
36,南投,1,二氧化硫,SO2,ppb,202507,0.6
36,南投,2,一氧化碳,CO,ppm,202507,0.17
36,南投,3,臭氧,O3,ppb,202507,26
36,南投,4,懸浮微粒,PM10,μg/m3,202507,19
36,南投,5,氮氧化物,NOx,ppb,202507,5.7
36,南投,6,一氧化氮,NO,ppb,202507,1
36,南投,7,二氧化氮,NO2,ppb,202507,4
36,南投,8,總碳氫化物,THC,ppm,202507,2
36,南投,9,非甲烷碳氫化合物,NMHC,ppm,202507,0.02
36,南投,10,風速,WIND_SPEED,m/sec,202507,1
36,南投,14,溫度,AMB_TEMP,℃,202507,28.7
36,南投,31,甲烷,CH4,ppm,202507,1.97
36,南投,33,細懸浮微粒,PM2.5,μg/m3,202507,8.1
36,南投,38,相對濕度,RH,%,202507,79
36,南投,143,小時風速值,WS_HR,m/sec,202507,0.8
37,斗六,1,二氧化硫,SO2,ppb,202507,1.1
37,斗六,2,一氧化碳,CO,ppm,202507,0.17
37,斗六,3,臭氧,O3,ppb,202507,28
37,斗六,4,懸浮微粒,PM10,μg/m3,202507,19
37,斗六,5,氮氧化物,NOx,ppb,202507,5.4
37,斗六,6,一氧化氮,NO,ppb,202507,1.2
37,斗六,7,二氧化氮,NO2,ppb,202507,4
37,斗六,8,總碳氫化物,THC,ppm,202507,2.02
37,斗六,9,非甲烷碳氫化合物,NMHC,ppm,202507,0.02
37,斗六,10,風速,WIND_SPEED,m/sec,202507,1.4
37,斗六,14,溫度,AMB_TEMP,℃,202507,28.9
37,斗六,31,甲烷,CH4,ppm,202507,2
37,斗六,33,細懸浮微粒,PM2.5,μg/m3,202507,9.2
37,斗六,38,相對濕度,RH,%,202507,85
37,斗六,143,小時風速值,WS_HR,m/sec,202507,1.1
38,崙背,1,二氧化硫,SO2,ppb,202507,1.1
38,崙背,2,一氧化碳,CO,ppm,202507,0.17
38,崙背,3,臭氧,O3,ppb,202507,24
38,崙背,4,懸浮微粒,PM10,μg/m3,202507,24
38,崙背,5,氮氧化物,NOx,ppb,202507,6.1
38,崙背,6,一氧化氮,NO,ppb,202507,1.4
38,崙背,7,二氧化氮,NO2,ppb,202507,4
38,崙背,8,總碳氫化物,THC,ppm,202507,2.13
38,崙背,9,非甲烷碳氫化合物,NMHC,ppm,202507,0.04
38,崙背,10,風速,WIND_SPEED,m/sec,202507,1.6
38,崙背,14,溫度,AMB_TEMP,℃,202507,29
38,崙背,31,甲烷,CH4,ppm,202507,2.08
38,崙背,33,細懸浮微粒,PM2.5,μg/m3,202507,10
38,崙背,38,相對濕度,RH,%,202507,84
38,崙背,143,小時風速值,WS_HR,m/sec,202507,1.3
39,新港,1,二氧化硫,SO2,ppb,202507,1.2
39,新港,2,一氧化碳,CO,ppm,202507,0.14
39,新港,3,臭氧,O3,ppb,202507,26
39,新港,4,懸浮微粒,PM10,μg/m3,202507,23
39,新港,5,氮氧化物,NOx,ppb,202507,5.9
39,新港,6,一氧化氮,NO,ppb,202507,0.8
39,新港,7,二氧化氮,NO2,ppb,202507,4
39,新港,10,風速,WIND_SPEED,m/sec,202507,1.7
39,新港,14,溫度,AMB_TEMP,℃,202507,28.9
39,新港,33,細懸浮微粒,PM2.5,μg/m3,202507,8.1
39,新港,38,相對濕度,RH,%,202507,86
39,新港,143,小時風速值,WS_HR,m/sec,202507,1.5
40,朴子,1,二氧化硫,SO2,ppb,202507,0.6
40,朴子,2,一氧化碳,CO,ppm,202507,0.09
40,朴子,3,臭氧,O3,ppb,202507,24
40,朴子,4,懸浮微粒,PM10,μg/m3,202507,21
40,朴子,5,氮氧化物,NOx,ppb,202507,5.8
40,朴子,6,一氧化氮,NO,ppb,202507,2.1
40,朴子,7,二氧化氮,NO2,ppb,202507,3
